gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
3.0,3824,108,3,0,0,1,932474.0,593920.0,0.0,932.474,0.59392
3.0,2569,78,0,0,0,1,810687.0,468992.0,0.0,810.687,0.468992
3.0,3119,83,0,1,0,0,814999.0,481280.0,0.0,814.999,0.48128
3.0,1922,30,4,0,2,1,931878.0,602112.0,0.0,931.878,0.602112
3.0,2916,20,2,1,0,1,925831.0,593920.0,0.0,925.831,0.59392
3.0,1922,54,4,1,2,2,777768.0,477184.0,0.0,777.768,0.477184
3.0,1572,53,0,1,0,1,804070.0,536576.0,0.0,804.07,0.536576
3.0,125,32,3,1,0,2,778393.0,522240.0,0.0,778.393,0.52224
3.0,1982,21,4,0,2,1,910447.0,937984.0,0.0,910.447,0.937984
3.0,1252,37,4,0,1,1,898056.0,593920.0,0.0,898.056,0.59392
3.0,1691,40,6,1,0,1,760630.0,481280.0,0.0,760.63,0.48128
3.0,812,52,0,1,1,1,874218.0,593920.0,0.0,874.218,0.59392
3.0,3936,48,4,2,2,0,748225.0,536576.0,0.0,748.225,0.536576
3.0,919,9,2,2,2,1,710440.0,501760.0,0.0,710.44,0.50176
3.0,3884,123,0,1,2,1,860159.0,593920.0,0.0,860.159,0.59392
3.0,2569,34,0,0,0,1,871664.0,962560.0,0.0,871.664,0.96256
3.0,206,19,0,0,0,0,868562.0,602112.0,0.0,868.562,0.602112
3.0,241,42,6,1,2,2,716042.0,536576.0,0.0,716.042,0.536576
3.0,4,18,0,0,0,0,857576.0,593920.0,0.0,857.576,0.59392
3.0,311,53,0,1,0,2,864916.0,602112.0,0.0,864.916,0.602112
3.0,1250,2,6,2,0,0,645206.0,544768.0,0.0,645.206,0.544768
3.0,4,1,0,0,0,0,855720.0,593920.0,0.0,855.72,0.59392
3.0,3884,95,0,1,2,2,863241.0,2072576.0,0.0,863.241,2.072576
